experiment_id, model_name, dataset, f1_strict, precision_strict, recall_strict, f1_strict_PER, precision_strict_PER, recall_strict_PER, f1_strict_LOC, precision_strict_LOC, recall_strict_LOC, f1_strict_ORG, precision_strict_ORG, recall_strict_ORG, f1_strict_MISC, precision_strict_MISC, recall_strict_MISC, f1_exact, precision_exact, recall_exact, f1_exact_PER, precision_exact_PER, recall_exact_PER, f1_exact_LOC, precision_exact_LOC, recall_exact_LOC, f1_exact_ORG, precision_exact_ORG, recall_exact_ORG, f1_exact_MISC, precision_exact_MISC, recall_exact_MISC, f1_type, precision_type, recall_type, f1_type_PER, precision_type_PER, recall_type_PER, f1_type_LOC, precision_type_LOC, recall_type_LOC, f1_type_ORG, precision_type_ORG, recall_type_ORG, f1_type_MISC, precision_type_MISC, recall_type_MISC, f1_partial, precision_partial, recall_partial, f1_partial_PER, precision_partial_PER, recall_partial_PER, f1_partial_LOC, precision_partial_LOC, recall_partial_LOC, f1_partial_ORG, precision_partial_ORG, recall_partial_ORG, f1_partial_MISC, precision_partial_MISC, recall_partial_MISC
1, bert, demorgen2000, 0.8715148031043404, 0.868021757801317, 0.8750360750360751, 0.8813056379821957, 0.8211981566820277, 0.9509071504802561, 0.8529032258064516, 0.7794811320754716, 0.9415954415954416, 0.7855421686746988, 0.7220376522702104, 0.8612945838837517, 0.7496604798551381, 0.7263157894736842, 0.774555659494855, 0.9473986777809715, 0.943601488691669, 0.9512265512265512, 0.9109792284866469, 0.8488479262672811, 0.9829242262540021, 0.8864516129032257, 0.8101415094339622, 0.9786324786324786, 0.8722891566265061, 0.8017718715393134, 0.9564068692206077, 0.8727931190583974, 0.8456140350877193, 0.90177736202058, 0.8792756539235412, 0.875751503006012, 0.8828282828282829, 0.8832838773491593, 0.8230414746543778, 0.9530416221985059, 0.8529032258064516, 0.7794811320754716, 0.9415954415954416, 0.8012048192771085, 0.7364341085271318, 0.8784676354029062, 0.7605251244907199, 0.7368421052631579, 0.7857811038353602, 0.9525725783271055, 0.9487546521614658, 0.9564213564213564, 0.9124629080118695, 0.8502304147465438, 0.9845250800426895, 0.8864516129032257, 0.8101415094339622, 0.9786324786324786, 0.8831325301204819, 0.8117386489479512, 0.9682959048877147, 0.8795835219556362, 0.8521929824561404, 0.9087932647333957
2, stanza, demorgen2000, 0.8731353885495099, 0.8787532170431799, 0.8675889328063241, 0.8989205103042199, 0.8633364750235627, 0.9375639713408394, 0.8783269961977187, 0.8279569892473119, 0.9352226720647774, 0.7934714375392341, 0.7541766109785203, 0.8370860927152318, 0.7725162488393685, 0.7668202764976959, 0.7782974742750234, 0.9561017189941754, 0.9622533600228768, 0.9500282326369283, 0.9342492639842983, 0.8972667295004713, 0.9744114636642784, 0.9214195183776933, 0.8685782556750299, 0.9811066126855601, 0.9052102950408035, 0.860381861575179, 0.9549668874172186, 0.8960074280408543, 0.8894009216589862, 0.9027128157156221, 0.8779656201164937, 0.8836145267372033, 0.8723884810841332, 0.8999018645731109, 0.8642789820923656, 0.9385875127942682, 0.8795944233206591, 0.8291517323775388, 0.9365721997300944, 0.8010043942247332, 0.7613365155131265, 0.8450331125827815, 0.7808727948003714, 0.7751152073732719, 0.7867165575304023, 0.9595112942179287, 0.9656848727480698, 0.953416149068323, 0.9347399411187438, 0.8977379830348727, 0.9749232343909928, 0.9226869455006337, 0.8697729988052568, 0.9824561403508771, 0.9108600125549278, 0.8657517899761337, 0.9609271523178808, 0.9015784586815229, 0.8949308755760369, 0.9083255378858747
3, spacy, demorgen2000, 0.5039596832253419, 0.5147058823529411, 0.4936530324400564, 0.43629489603024574, 0.3459232613908873, 0.5905834186284544, 0.4141906873614191, 0.3084544253632761, 0.6302294197031039, 0.26513761467889907, 0.20323488045007032, 0.3812664907651715, 0.32363213038416766, 0.276525198938992, 0.3900841908325538, 0.6928725701943845, 0.7076470588235294, 0.6787023977433004, 0.5466918714555765, 0.43345323741007197, 0.7400204708290685, 0.5401330376940133, 0.40224570673712023, 0.8218623481781376, 0.4458715596330275, 0.34177215189873417, 0.6411609498680739, 0.4563445867287544, 0.38992042440318303, 0.5500467726847521, 0.515766738660907, 0.5267647058823529, 0.5052186177715091, 0.4544423440453686, 0.36031175059952036, 0.6151484135107472, 0.4141906873614191, 0.3084544253632761, 0.6302294197031039, 0.27706422018348625, 0.21237693389592124, 0.39841688654353563, 0.32673651532790066, 0.2791777188328912, 0.3938260056127222, 0.7058315334773217, 0.7208823529411764, 0.6913963328631876, 0.5621928166351606, 0.4457434052757794, 0.7610030706243602, 0.5405764966740577, 0.4025759577278732, 0.8225371120107963, 0.46055045871559636, 0.3530239099859353, 0.662269129287599, 0.46255335661622043, 0.3952254641909814, 0.5575304022450889
4, bert, europeananews, 0.5812200137080192, 0.5832187070151307, 0.5792349726775956, 0.29457364341085274, 0.24804177545691905, 0.36259541984732824, 0.6484848484848486, 0.5477815699658704, 0.7945544554455446, 0.048632218844984795, 0.02962962962962963, 0.13559322033898305, 0, 0.0, 0.0, 0.6004112405757368, 0.6024759284731774, 0.5983606557377049, 0.29767441860465116, 0.2506527415143603, 0.366412213740458, 0.6646464646464646, 0.5614334470989761, 0.8143564356435643, 0.06686930091185411, 0.040740740740740744, 0.1864406779661017, 0.015037593984962405, 0.007722007722007722, 0.2857142857142857, 0.6237148732008225, 0.6258596973865199, 0.6215846994535519, 0.3875968992248062, 0.3263707571801567, 0.4770992366412214, 0.6484848484848486, 0.5477815699658704, 0.7945544554455446, 0.05471124620060791, 0.03333333333333333, 0.15254237288135594, 0, 0.0, 0.0, 0.6223440712816998, 0.624484181568088, 0.6202185792349727, 0.34418604651162793, 0.2898172323759791, 0.42366412213740456, 0.6646464646464646, 0.5614334470989761, 0.8143564356435643, 0.0729483282674772, 0.044444444444444446, 0.2033898305084746, 0.015037593984962405, 0.007722007722007722, 0.2857142857142857
5, stanza, europeananews, 0.056329932461560574, 0.046445497630331754, 0.07155896312522819, 0.015393963945716023, 0.009528585757271816, 0.040042149631190724, 0.05634308272025839, 0.03881334981458591, 0.10274869109947644, 0.0004892367906066536, 0.000259000259000259, 0.004405286343612335, 0, 0.0, 0.0, 0.07989653685874407, 0.06587677725118483, 0.10149689667761957, 0.025521571804739723, 0.01579739217652959, 0.06638566912539515, 0.07141575453077337, 0.04919653893695921, 0.13023560209424084, 0.006849315068493151, 0.003626003626003626, 0.06167400881057269, 0.001032258064516129, 0.0005208333333333333, 0.05714285714285714, 0.07730995832734588, 0.06374407582938389, 0.0982110259218693, 0.04294105732226048, 0.02657973921765296, 0.11169652265542676, 0.05777857527364077, 0.03980222496909765, 0.10536649214659685, 0.0009784735812133072, 0.000518000518000518, 0.00881057268722467, 0, 0.0, 0.0, 0.09484121281793362, 0.07819905213270142, 0.12048192771084337, 0.04314360947944096, 0.026705115346038113, 0.11222339304531086, 0.07285124708415576, 0.05018541409147095, 0.13285340314136126, 0.009050880626223091, 0.004791504791504792, 0.08149779735682819, 0.001032258064516129, 0.0005208333333333333, 0.05714285714285714
6, spacy, europeananews, 0.03851444291609354, 0.030911901081916538, 0.05107624954396206, 0.009852216748768475, 0.006008782066096603, 0.027339642481598318, 0.03553900829243527, 0.023967130792056607, 0.06871727748691099, 0.004048582995951417, 0.002133206921071344, 0.039647577092511016, 0, 0.0, 0.0, 0.06932599724896837, 0.05564142194744977, 0.09193724917913171, 0.02235695339143615, 0.013635313149988445, 0.06203995793901157, 0.059908613978676604, 0.04040173476375257, 0.11583769633507854, 0.006297795771479982, 0.0033183218772220905, 0.06167400881057269, 0.0009440641963653529, 0.00047596382674916705, 0.05714285714285714, 0.055020632737276476, 0.044159858688452194, 0.07296607077708865, 0.0325881015536188, 0.019875202218627225, 0.0904311251314406, 0.03553900829243527, 0.023967130792056607, 0.06871727748691099, 0.004048582995951417, 0.002133206921071344, 0.039647577092511016, 0, 0.0, 0.0, 0.07991746905089409, 0.06414219474497682, 0.10598321780372127, 0.035240621447518, 0.021492951236422465, 0.09779179810725552, 0.060585547469961074, 0.04085825154074412, 0.11714659685863875, 0.007422402159244266, 0.003910879355297464, 0.07268722466960352, 0.0009440641963653529, 0.00047596382674916705, 0.05714285714285714
7, bert, meantimenews, 0.3508178228990412, 0.3478747203579418, 0.35381114903299204, 0.06840390879478828, 0.04208416833667335, 0.1826086956521739, 0.05517241379310345, 0.032, 0.2, 0.35470941883767537, 0.26029411764705884, 0.5566037735849056, 0.19816138917262516, 0.15823817292006526, 0.2650273224043716, 0.3666102650874224, 0.3635346756152125, 0.36973833902161546, 0.0716612377850163, 0.04408817635270541, 0.19130434782608696, 0.07931034482758621, 0.046, 0.2875, 0.36272545090180364, 0.2661764705882353, 0.5691823899371069, 0.20224719101123598, 0.16150081566068517, 0.27049180327868855, 0.4568527918781726, 0.45302013422818793, 0.46075085324232085, 0.10097719869706841, 0.06212424849699399, 0.26956521739130435, 0.08275862068965517, 0.048, 0.3, 0.41482965931863724, 0.3044117647058823, 0.6509433962264151, 0.29213483146067415, 0.233278955954323, 0.3907103825136612, 0.4247038917089679, 0.4211409395973154, 0.4283276450511945, 0.08957654723127036, 0.05511022044088176, 0.2391304347826087, 0.09827586206896552, 0.057, 0.35625, 0.3957915831663327, 0.29044117647058826, 0.6210691823899371, 0.25127681307456584, 0.200652528548124, 0.3360655737704918
8, stanza, meantimenews, 0.21269669017905588, 0.20310880829015543, 0.22323462414578588, 0.0310880829015544, 0.018292682926829267, 0.10344827586206896, 0.06068601583113457, 0.033973412112259974, 0.2839506172839506, 0.26273458445040215, 0.18329177057356608, 0.4637223974763407, 0.026641294005708853, 0.020378457059679767, 0.038461538461538464, 0.26044492674986436, 0.24870466321243523, 0.2733485193621868, 0.046632124352331605, 0.027439024390243903, 0.15517241379310345, 0.10554089709762532, 0.059084194977843424, 0.49382716049382713, 0.28418230563002683, 0.19825436408977556, 0.501577287066246, 0.04376784015223596, 0.033478893740902474, 0.06318681318681318, 0.29734129137276183, 0.2839378238341969, 0.3120728929384966, 0.06994818652849741, 0.041158536585365856, 0.23275862068965517, 0.08970976253298152, 0.050221565731166914, 0.41975308641975306, 0.29848078641644327, 0.2082294264339152, 0.526813880126183, 0.08753568030447192, 0.06695778748180495, 0.12637362637362637, 0.31795984807379274, 0.30362694300518134, 0.3337129840546697, 0.07124352331606218, 0.041920731707317076, 0.23706896551724138, 0.12928759894459102, 0.0723781388478582, 0.6049382716049383, 0.30563002680965146, 0.21321695760598502, 0.5394321766561514, 0.08658420551855377, 0.06622998544395925, 0.125
9, spacy, meantimenews, 0.07129686539643515, 0.07733333333333334, 0.0661345496009122, 0.014326647564469917, 0.00859106529209622, 0.04310344827586207, 0.058479532163742694, 0.033112582781456956, 0.25, 0.06680584551148226, 0.0499219968798752, 0.10094637223974763, 0.002100840336134454, 0.0017006802721088435, 0.0027472527472527475, 0.14382298709280886, 0.156, 0.13340935005701254, 0.025787965616045846, 0.015463917525773196, 0.07758620689655173, 0.11111111111111112, 0.06291390728476821, 0.475, 0.1315240083507307, 0.09828393135725429, 0.19873817034700317, 0.014705882352941176, 0.011904761904761904, 0.019230769230769232, 0.11677934849416104, 0.12666666666666668, 0.10832383124287344, 0.045845272206303724, 0.027491408934707903, 0.13793103448275862, 0.07602339181286549, 0.04304635761589404, 0.325, 0.08559498956158663, 0.06396255850234009, 0.12933753943217666, 0.025210084033613443, 0.02040816326530612, 0.03296703296703297, 0.1917639827904118, 0.208, 0.17787913340935005, 0.05157593123209169, 0.030927835051546393, 0.15517241379310345, 0.12719298245614033, 0.07201986754966887, 0.54375, 0.15553235908141963, 0.11622464898595944, 0.23501577287066247, 0.04201680672268907, 0.034013605442176874, 0.054945054945054944
10, bert, parliamentary, 0.7308970099667774, 0.6875, 0.7801418439716312, 0.6074766355140186, 0.4676258992805755, 0.8666666666666667, 0.396551724137931, 0.25555555555555554, 0.8846153846153846, 0.6793893129770991, 0.5460122699386503, 0.898989898989899, 0.40758293838862564, 0.3333333333333333, 0.524390243902439, 0.8073089700996677, 0.759375, 0.8617021276595744, 0.6074766355140186, 0.4676258992805755, 0.8666666666666667, 0.396551724137931, 0.25555555555555554, 0.8846153846153846, 0.7175572519083969, 0.5766871165644172, 0.9494949494949495, 0.5781990521327014, 0.4728682170542636, 0.7439024390243902, 0.7475083056478405, 0.703125, 0.7978723404255319, 0.6355140186915889, 0.4892086330935252, 0.9066666666666666, 0.396551724137931, 0.25555555555555554, 0.8846153846153846, 0.6946564885496184, 0.558282208588957, 0.9191919191919192, 0.40758293838862564, 0.3333333333333333, 0.524390243902439, 0.823920265780731, 0.775, 0.8794326241134752, 0.6401869158878504, 0.49280575539568344, 0.9133333333333333, 0.396551724137931, 0.25555555555555554, 0.8846153846153846, 0.7251908396946565, 0.5828220858895705, 0.9595959595959596, 0.5829383886255924, 0.47674418604651164, 0.75
